127.0.0.1 - - [24/Feb/2024:20:25:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:29 +0530] "GET /practiceServlets/about_us.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:42 +0530] "GET /practiceServlets/profile.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:45 +0530] "GET /practiceServlets/profile.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:47 +0530] "GET /practiceServlets/about_us.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:49 +0530] "GET /practiceServlets/contact.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:50 +0530] "GET /practiceServlets/contact.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:52 +0530] "GET /practiceServlets/about_us.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:54 +0530] "GET /practiceServlets/profile.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:55 +0530] "GET /practiceServlets/contact.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:57 +0530] "GET /practiceServlets/profile.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:25:59 +0530] "GET /practiceServlets/about_us.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/Feb/2024:20:26:21 +0530] "GET /RegisterAndLogin/ HTTP/1.1" 404 772
